Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
Boxing Greats Multi Signed Autographed Robe 51 Sigs Hearns Lewis BAS AC49467;ХАЛАТЫ;Boxing Greats Multi Signed Autographed Robe 51 Sigs Hearns Lewis BAS AC49467. Международная сертификация подлинности: Beckett/BAS.;2000000;RUB;Beckett/BAS;ХАЛАТЫ;;https://i.ebayimg.com/images/g/jBoAAeSwYCVpLgY8/s-l1600.jpg;4999.99;https://www.ebay.com/itm/356545439296;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Boxing Greats Multi Signed Autograph Trunks 28 Sigs Pacquiao Leonard BAS AC49475;ТРУСЫ;Boxing Greats Multi Signed Autograph Trunks 28 Sigs Pacquiao Leonard BAS AC49475. Международная сертификация подлинности: Beckett/BAS.;1400000;RUB;Beckett/BAS;ТРУСЫ;;https://i.ebayimg.com/images/g/OZYAAeSwULxpLgYg/s-l1600.jpg;3499.99;https://www.ebay.com/itm/135539585973;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Boxing Greats Multi Signed Autograph Trunks 20 Sigs Roach Mayweather BAS AC49472;ТРУСЫ;Boxing Greats Multi Signed Autograph Trunks 20 Sigs Roach Mayweather BAS AC49472. Международная сертификация подлинности: Beckett/BAS.;1200000;RUB;Beckett/BAS;ТРУСЫ;;https://i.ebayimg.com/images/g/2NoAAeSwPsZpA7q6/s-l1600.jpg;2999.99;https://www.ebay.com/itm/356545439369;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Boxing Greats Multi Signed Autographed Trunks 18 Sigs Golovkin Lewis BAS AC49468;ТРУСЫ;Boxing Greats Multi Signed Autographed Trunks 18 Sigs Golovkin Lewis BAS AC49468. Международная сертификация подлинности: Beckett/BAS.;900000;RUB;Beckett/BAS;ТРУСЫ;;https://i.ebayimg.com/images/g/pZIAAeSwc7ZpLgY1/s-l1600.jpg;1999.99;https://www.ebay.com/itm/136183750062;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
"Muhammad Ali ""Cassius Clay"" Tyson, Frazier, Foreman + 2 signed Boxing Glove ~BAS";ПЕРЧАТКИ;"Muhammad Ali ""Cassius Clay"" Tyson, Frazier, Foreman + 2 signed Boxing Glove ~BAS. Международная сертификация подлинности: Beckett/BAS.";1500000;RUB;Beckett/BAS;ПЕРЧАТКИ;;https://i.ebayimg.com/images/g/BYYAAOSwb59ivOOT/s-l1600.jpg;5024.99;https://www.ebay.com/itm/384979108347?amdata=enc%3AAQALAAAAoGfYFPkwiKCW4ZNSs2u11xDGX0VWd5SKYeBGdAT4HBBuH9WstncA95XlRK%2BuBJimdlIpx5D4duKAKkHLFoW6go1kQvkWe8tbTQD%2BSecSnHk4sWFFOyz9DS9uuOA3MJSMjaUJSMtxDp2Tb%2FR0RGOiorQTwX43wm3qQ%2BDGooWtZuPmK4bAHOBg0NiEnX537BYbf47t7Wy7is4vaYJyCjEIGeY%3D;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Everlast Boxing Gloves Signed By 5 - Tyson,Lewis,Leonard,Hearns,Duran -(BAS COA);ПЕРЧАТКИ;Everlast Boxing Gloves Signed By 5 - Tyson,Lewis,Leonard,Hearns,Duran -(BAS COA). Международная сертификация подлинности: Beckett/BAS COA.;550000;RUB;Beckett/BAS COA;ПЕРЧАТКИ;;https://i.ebayimg.com/images/g/ijkAAOSwF1pmFAF6/s-l1600.jpg;649.99;https://www.ebay.com/itm/126419143477;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
