Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
Bobby Jones personal jack white golf club driver and original signed photograph;КЛЮШКИ ЛЕГЕНД;Bobby Jones personal jack white golf club driver and original signed photograph. Международная сертификация подлинности: провенанс дилера + подписанное фото.;1050000;RUB;провенанс дилера + подписанное фото;КЛЮШКИ ЛЕГЕНД;;https://i.ebayimg.com/images/g/a84AAOSwe65mdFu~/s-l1600.jpg;4445;https://www.ebay.co.uk/itm/283617122381;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Very rare Henry Picard personal irons and signed & photo;КЛЮШКИ ЛЕГЕНД;Very rare Henry Picard personal irons and signed & photo. Международная сертификация подлинности: фото с автографом + провенанс дилера.;800000;RUB;фото с автографом + провенанс дилера;КЛЮШКИ ЛЕГЕНД;;https://i.ebayimg.com/images/g/KcIAAOSwsEde~w2P/s-l1600.jpg;1905;https://www.ebay.co.uk/itm/283935839086;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Signed Arnold Plamer The Standard forged 2 iron;КЛЮШКИ ЛЕГЕНД;Signed Arnold Plamer The Standard forged 2 iron. Международная сертификация подлинности: подпись без именного серта.;400000;RUB;подпись без именного серта;КЛЮШКИ ЛЕГЕНД;;https://i.ebayimg.com/images/g/sokAAOSwfdZjPJRX/s-l1600.jpg;501.65;https://www.ebay.co.uk/itm/125546453409;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
2022 Masters Pin Flag Signed by 15 Winners Inc Jack Nicklaus Phil Mickelson COA;ФЛАГИ ЧЕМПИОНОВ;2022 Masters Pin Flag Signed by 15 Winners Inc Jack Nicklaus Phil Mickelson COA. Международная сертификация подлинности: COA продавца.;900000;RUB;COA продавца;ФЛАГИ ЧЕМПИОНОВ;;https://i.ebayimg.com/images/g/6OEAAeSwyqlpSG2L/s-l1600.jpg;3803.65;https://www.ebay.co.uk/itm/306474329009;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
2016 Masters Pin Flag Signed by 13 Winners Inc Jack Nicklaus Tom Watson COA;ФЛАГИ ЧЕМПИОНОВ;2016 Masters Pin Flag Signed by 13 Winners Inc Jack Nicklaus Tom Watson COA. Международная сертификация подлинности: COA продавца.;900000;RUB;COA продавца;ФЛАГИ ЧЕМПИОНОВ;;https://i.ebayimg.com/images/g/mOEAAOSwuWhoQhd9/s-l1600.jpg;3803.65;https://www.ebay.co.uk/itm/306337927890;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
2016 Masters Pin Flag Signed by 12 Winners Inc Jack Nicklaus Tom Watson COA;ФЛАГИ ЧЕМПИОНОВ;2016 Masters Pin Flag Signed by 12 Winners Inc Jack Nicklaus Tom Watson COA. Международная сертификация подлинности: COA продавца.;900000;RUB;COA продавца;ФЛАГИ ЧЕМПИОНОВ;;https://i.ebayimg.com/images/g/SKQAAeSwClRomvgV/s-l1600.jpg;3803.65;https://www.ebay.co.uk/itm/306445612231;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
