Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
Boxing Hall Of Fame Induction Program Autographed 22 Signatures June 9 1996 JSA;СЕРТИФИКАТ JSA · то же, что на фото у клиента;Boxing Hall Of Fame Induction Program Autographed 22 Signatures June 9 1996 JSA. Международная сертификация подлинности: JSA.;700000;RUB;JSA;СЕРТИФИКАТ JSA · то же, что на фото у клиента;;https://i.ebayimg.com/images/g/w38AAeSwIXxpxC9W/s-l1600.jpg;399.99;https://www.ebay.com/itm/117108121923;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
Boxing Hall Of Fame Induction Program Autographed 19 Signatures June 15 1997 JSA;СЕРТИФИКАТ JSA · то же, что на фото у клиента;Boxing Hall Of Fame Induction Program Autographed 19 Signatures June 15 1997 JSA. Международная сертификация подлинности: JSA.;600000;RUB;JSA;СЕРТИФИКАТ JSA · то же, что на фото у клиента;;https://i.ebayimg.com/images/g/rXUAAeSwc3FpxC7n/s-l1600.jpg;399.99;https://www.ebay.com/itm/117108118143;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
1996 INT’L BOXING HALL OF FAME PROGRAM MUHAMMAD ALI OPPONENTS FRAZIER HOFers JSA;СЕРТИФИКАТ JSA · то же, что на фото у клиента;1996 INT’L BOXING HALL OF FAME PROGRAM MUHAMMAD ALI OPPONENTS FRAZIER HOFers JSA. Международная сертификация подлинности: JSA.;550000;RUB;JSA;СЕРТИФИКАТ JSA · то же, что на фото у клиента;;https://i.ebayimg.com/images/g/8wkAAeSwKuRqA4g7/s-l1600.jpg;249.88;https://www.ebay.com/itm/336580780807;"главное фото с подписью крупно; при возможности — кадр из фильма/матча"
